from,to,corr,weight,Effect
Synalpheus_charon,Trapezia_serenei,0.35921258189992533,0.35921258189992533,Positive
Chlorodiella_barbata,Trapezia_tigrina,0.3380821931949103,0.3380821931949103,Positive
Halichoeres_trimaculatus,Trapezia_tigrina,0.3431233417699859,0.3431233417699859,Positive
Strigatella_assimilis,Trapezia_tigrina,0.3603577199760591,0.3603577199760591,Positive
Synalpheus_charon,Trapezia_tigrina,-0.3130972222771849,0.3130972222771849,Negative
Athanas_djiboutensis,Vexillum_interruptum,0.3813779182397478,0.3813779182397478,Positive
Caracanthus_maculatus,Vexillum_interruptum,0.33647047734358726,0.33647047734358726,Positive
Cellana_taitensis,Xanthias_lamarckii,0.3124795000679785,0.3124795000679785,Positive
Dascyllus_aruanus,Xanthias_lamarckii,-0.35157025486403864,0.35157025486403864,Negative
Strigatella_assimilis,Xanthias_lamarckii,0.32368613698109616,0.32368613698109616,Positive
Chlorodiella_barbata,Zafra_hahajimana,0.3142903175352947,0.3142903175352947,Positive
Galathea_mauritiana,Zafra_hahajimana,0.3151927979544169,0.3151927979544169,Positive
Luniella_pugil,Zafra_hahajimana,0.3350687149106251,0.3350687149106251,Positive
Mitrella_moleculina,Zafra_hahajimana,0.3274656962464721,0.3274656962464721,Positive
Morula_zebrina,Zafra_hahajimana,0.38230143251363585,0.38230143251363585,Positive
Strigatella_assimilis,Zafra_hahajimana,0.3204469892182463,0.3204469892182463,Positive
Trapezia_serenei,Zafra_hahajimana,0.3210949934048369,0.3210949934048369,Positive
