predictor,adjustment,n,n_reefs,estimate,std_error,df,t,p_value,conf_low,conf_high,singular,note,species,predictor_type,p_value_BH
incidence_trapezia_bella,unadjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia bella,incidence,NA
incidence_trapezia_guttata,unadjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia guttata,incidence,NA
incidence_trapezia_punctimanus,unadjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia punctimanus,incidence,NA
incidence_trapezia_serenei,unadjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia serenei,incidence,NA
incidence_trapezia_speciosa,unadjusted,44,23,NA,NA,NA,NA,NA,NA,NA,NA,Skipped: incidence too sparse or constant,Trapezia speciosa,incidence,NA
sqrt_trapezia_bidentata_z,unadjusted,44,23,-0.4007690204882785,0.23537975553608975,41.99965887116734,-1.7026486393254425,0.09602504149674468,-0.8621133413390144,0.060575300362457396,FALSE,NA,Trapezia bidentata,sqrt abundance z,0.618823861731597
sqrt_trapezia_bella_z,unadjusted,44,23,-0.2804181160408061,0.21932540423348051,25.41103074593286,-1.2785482695031989,0.2126107444802041,-0.7102959083384279,0.14945967625681572,FALSE,NA,Trapezia bella,sqrt abundance z,0.618823861731597
sqrt_trapezia_areolata_z,unadjusted,44,23,0.23226324971470155,0.22038149843846921,30.053608261989254,1.053914468140118,0.3003218288026781,-0.1996844872246981,0.6642109866541012,FALSE,NA,Trapezia areolata,sqrt abundance z,0.618823861731597
sqrt_trapezia_speciosa_z,unadjusted,44,23,-0.2359700760456702,0.22839810947138203,31.45130893355483,-1.0331524923381072,0.3094119308657985,-0.683630370609579,0.21169021851823858,FALSE,NA,Trapezia speciosa,sqrt abundance z,0.618823861731597
sqrt_trapezia_guttata_z,unadjusted,44,23,-0.2078691413241017,0.2528208157989359,33.51737613969521,-0.8221994722515906,0.41677430314461295,-0.703397940290016,0.28765965764181267,FALSE,NA,Trapezia guttata,sqrt abundance z,0.6668388850313808
sqrt_trapezia_punctimanus_z,unadjusted,44,23,-0.0996972145980742,0.22896174522667637,31.171116851339143,-0.4354317552016041,0.6662494300129691,-0.5484622352423599,0.3490678060462115,FALSE,NA,Trapezia punctimanus,sqrt abundance z,0.7684754142760596
sqrt_trapezia_tigrina_z,unadjusted,44,23,-0.10171204505656388,0.23869367852380352,38.14121754569889,-0.4261195591169405,0.6724159874915522,-0.5695516549632188,0.366127564850091,FALSE,NA,Trapezia tigrina,sqrt abundance z,0.7684754142760596
sqrt_trapezia_serenei_z,unadjusted,44,23,-0.012435275881252874,0.26113573177848837,41.999647421594986,-0.047619970643470774,0.9622448410660164,-0.5242613101670901,0.4993907584045843,FALSE,NA,Trapezia serenei,sqrt abundance z,0.9622448410660164
