result_key,result_label,analysis_scope,scenario_id,scenario_type,requested_n_species,n_species_full_scope,n_species_condition_scope,metric,estimate,statistic,df,R2,p_value,significant,direction,n_units,details,stars
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_075_by_abundance,ranked_top_N,75,75,71,LMM treatment LRT; estimate is mean(6) - mean(1),4.328571428571426,5.525125229668504,2,NA,0.06312978357610696,FALSE,positive,44,NA,.
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,top_100_by_abundance,ranked_top_N,100,100,85,LMM treatment LRT; estimate is mean(6) - mean(1),4.366666666666667,5.369124204319803,2,NA,0.068251074451634,FALSE,positive,44,NA,.
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,all_observed_species,reference_full,118,118,96,LMM treatment LRT; estimate is mean(6) - mean(1),4.414285714285715,5.029630197499131,2,NA,0.08087786524265939,FALSE,positive,44,NA,.
alpha_richness_treatment,Treatment effect on richness,condition-subset coral-level alpha diversity,main_38_10x10_corrected,reference_main,38,38,38,LMM treatment LRT; estimate is mean(6) - mean(1),2.7857142857142847,2.7773431103926214,2,NA,0.24940640730295183,FALSE,positive,44,NA,NS
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,damselfish_only,functional_subset,5,5,5,LMM treatment LRT; estimate is mean(6) - mean(1),-0.11651261818472886,0.8631780122798602,2,NA,0.6494762525912875,FALSE,negative,44,NA,NS
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,obligate_plus_damselfish,functional_subset,27,27,26,LMM treatment LRT; estimate is mean(6) - mean(1),0.0944543209060269,2.007503999448822,2,NA,0.36650174378586714,FALSE,positive,44,NA,NS
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_005_by_abundance,ranked_top_N,5,5,5,LMM treatment LRT; estimate is mean(6) - mean(1),-0.05896613404901929,1.4414033960176873,2,NA,0.48641082267670144,FALSE,negative,44,NA,NS
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_010_by_abundance,ranked_top_N,10,10,10,LMM treatment LRT; estimate is mean(6) - mean(1),0.02973829910619319,0.389858892431155,2,NA,0.8228927142031146,FALSE,positive,44,NA,NS
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_015_by_abundance,ranked_top_N,15,15,15,LMM treatment LRT; estimate is mean(6) - mean(1),0.12025959214325455,1.7460904685023895,2,NA,0.41767768423339224,FALSE,positive,44,NA,NS
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_020_by_abundance,ranked_top_N,20,20,20,LMM treatment LRT; estimate is mean(6) - mean(1),0.1920647833627478,4.432208907472145,2,NA,0.1090330257910582,FALSE,positive,44,NA,NS
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_025_by_abundance,ranked_top_N,25,25,25,LMM treatment LRT; estimate is mean(6) - mean(1),0.2092658907963929,4.686874227283942,2,NA,0.0959971175350185,FALSE,positive,44,NA,.
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_030_by_abundance,ranked_top_N,30,30,30,LMM treatment LRT; estimate is mean(6) - mean(1),0.25295907994480693,6.224241807457032,2,NA,0.04450646124965389,TRUE,positive,44,NA,*
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_038_by_abundance,ranked_top_N,38,38,38,LMM treatment LRT; estimate is mean(6) - mean(1),0.2946783186408357,7.602487939076292,2,NA,0.022342960599196354,TRUE,positive,44,NA,*
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_050_by_abundance,ranked_top_N,50,50,50,LMM treatment LRT; estimate is mean(6) - mean(1),0.3082981756321397,7.599159638430834,2,NA,0.022380173599713515,TRUE,positive,44,NA,*
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_075_by_abundance,ranked_top_N,75,75,71,LMM treatment LRT; estimate is mean(6) - mean(1),0.34545356457420207,8.633191359333981,2,NA,0.013345237762758843,TRUE,positive,44,NA,*
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,top_100_by_abundance,ranked_top_N,100,100,85,LMM treatment LRT; estimate is mean(6) - mean(1),0.34514245207529415,8.120736999274243,2,NA,0.017242664029056977,TRUE,positive,44,NA,*
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,all_observed_species,reference_full,118,118,96,LMM treatment LRT; estimate is mean(6) - mean(1),0.3460721117026653,8.104537862695764,2,NA,0.017382889279244626,TRUE,positive,44,NA,*
alpha_shannon_treatment,Treatment effect on shannon,condition-subset coral-level alpha diversity,main_38_10x10_corrected,reference_main,38,38,38,LMM treatment LRT; estimate is mean(6) - mean(1),0.28747362679258126,7.402854821382062,2,NA,0.02468826101946422,TRUE,positive,44,NA,*
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,damselfish_only,functional_subset,5,5,5,LMM treatment LRT; estimate is mean(6) - mean(1),0.2519625699014186,8.696666411515146,2,NA,0.012928343520215513,TRUE,positive,44,NA,*
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,obligate_plus_damselfish,functional_subset,27,27,26,LMM treatment LRT; estimate is mean(6) - mean(1),0.06456438001715803,3.408179718938527,2,NA,0.18193789990034379,FALSE,positive,44,NA,NS
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_005_by_abundance,ranked_top_N,5,5,5,LMM treatment LRT; estimate is mean(6) - mean(1),-0.012542727444981416,0.17593781932696118,2,NA,0.9157893484797501,FALSE,negative,44,NA,NS
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_010_by_abundance,ranked_top_N,10,10,10,LMM treatment LRT; estimate is mean(6) - mean(1),0.01866102485251575,0.34857926489073066,2,NA,0.8400535556547006,FALSE,positive,44,NA,NS
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_015_by_abundance,ranked_top_N,15,15,15,LMM treatment LRT; estimate is mean(6) - mean(1),0.0361061275002279,1.4384850952131245,2,NA,0.4871210872897123,FALSE,positive,44,NA,NS
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_020_by_abundance,ranked_top_N,20,20,20,LMM treatment LRT; estimate is mean(6) - mean(1),0.04797601375931593,3.1529891032196957,2,NA,0.20669840028969025,FALSE,positive,44,NA,NS
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_025_by_abundance,ranked_top_N,25,25,25,LMM treatment LRT; estimate is mean(6) - mean(1),0.051212316074770614,3.6701841419315713,2,NA,0.15959880667536389,FALSE,positive,44,NA,NS
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_030_by_abundance,ranked_top_N,30,30,30,LMM treatment LRT; estimate is mean(6) - mean(1),0.05534200556023117,4.308500548396509,2,NA,0.11599011880746928,FALSE,positive,44,NA,NS
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_038_by_abundance,ranked_top_N,38,38,38,LMM treatment LRT; estimate is mean(6) - mean(1),0.05916510146974219,5.074107261895776,2,NA,0.07909911196990155,FALSE,positive,44,NA,.
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_050_by_abundance,ranked_top_N,50,50,50,LMM treatment LRT; estimate is mean(6) - mean(1),0.05973293876371899,5.2000165436848675,2,NA,0.07427296383753891,FALSE,positive,44,NA,.
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_075_by_abundance,ranked_top_N,75,75,71,LMM treatment LRT; estimate is mean(6) - mean(1),0.06282972070509074,5.712809895451059,2,NA,0.057475014978410094,FALSE,positive,44,NA,.
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,top_100_by_abundance,ranked_top_N,100,100,85,LMM treatment LRT; estimate is mean(6) - mean(1),0.06287654586148739,5.639577652944993,2,NA,0.05961853123525634,FALSE,positive,44,NA,.
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,all_observed_species,reference_full,118,118,96,LMM treatment LRT; estimate is mean(6) - mean(1),0.06272207472964397,5.644315658787519,2,NA,0.059477461923380034,FALSE,positive,44,NA,.
alpha_simpson_treatment,Treatment effect on simpson,condition-subset coral-level alpha diversity,main_38_10x10_corrected,reference_main,38,38,38,LMM treatment LRT; estimate is mean(6) - mean(1),0.058194973438914444,4.927529976303063,2,NA,0.08511389415599978,FALSE,positive,44,NA,.
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,damselfish_only,functional_subset,5,5,5,PERMANOVA/adonis2,0.1372036412126011,1.510709425514496,2,0.1372036412126011,0.222,FALSE,NA,22,NA,NS
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,obligate_plus_damselfish,functional_subset,27,27,26,PERMANOVA/adonis2,0.2800482797557577,3.889820273792135,2,0.2800482797557577,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_005_by_abundance,ranked_top_N,5,5,5,PERMANOVA/adonis2,0.3205241511589166,4.717226546103203,2,0.3205241511589166,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_010_by_abundance,ranked_top_N,10,10,10,PERMANOVA/adonis2,0.33704633255052907,5.084010378089024,2,0.33704633255052907,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_015_by_abundance,ranked_top_N,15,15,15,PERMANOVA/adonis2,0.3459388026800097,5.289089218218275,2,0.3459388026800097,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_020_by_abundance,ranked_top_N,20,20,20,PERMANOVA/adonis2,0.3164231536879583,4.628933168159358,2,0.3164231536879583,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_025_by_abundance,ranked_top_N,25,25,25,PERMANOVA/adonis2,0.31044318095513757,4.50206817452907,2,0.31044318095513757,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_030_by_abundance,ranked_top_N,30,30,30,PERMANOVA/adonis2,0.31506811747572255,4.599991992116895,2,0.31506811747572255,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_038_by_abundance,ranked_top_N,38,38,38,PERMANOVA/adonis2,0.3071949161914701,4.43407422045375,2,0.3071949161914701,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_050_by_abundance,ranked_top_N,50,50,50,PERMANOVA/adonis2,0.2986672374299298,4.258566737071403,2,0.2986672374299298,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_075_by_abundance,ranked_top_N,75,75,71,PERMANOVA/adonis2,0.30128443144207745,4.31197535878437,2,0.30128443144207745,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,top_100_by_abundance,ranked_top_N,100,100,85,PERMANOVA/adonis2,0.2966940688839368,4.218563440992437,2,0.2966940688839368,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,all_observed_species,reference_full,118,118,96,PERMANOVA/adonis2,0.29436257591284376,4.171583958909834,2,0.29436257591284376,0.001,TRUE,NA,23,NA,**
beta_permanova_bray_sqrt,Treatment effect on community composition: bray_sqrt,condition-subset reef-level beta diversity,main_38_10x10_corrected,reference_main,38,38,38,PERMANOVA/adonis2,0.30614121043320736,4.412154389862886,2,0.30614121043320736,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,damselfish_only,functional_subset,5,5,5,PERMANOVA/adonis2,0.2865167668771342,3.814959005300195,2,0.2865167668771342,0.001,TRUE,NA,22,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,obligate_plus_damselfish,functional_subset,27,27,26,PERMANOVA/adonis2,0.45276086196558335,8.273546800614774,2,0.45276086196558335,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_005_by_abundance,ranked_top_N,5,5,5,PERMANOVA/adonis2,0.5225364000907226,10.944004950115762,2,0.5225364000907226,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_010_by_abundance,ranked_top_N,10,10,10,PERMANOVA/adonis2,0.532429011420737,11.38712675563015,2,0.532429011420737,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_015_by_abundance,ranked_top_N,15,15,15,PERMANOVA/adonis2,0.5767974685811528,13.629348261395236,2,0.5767974685811528,0.002,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_020_by_abundance,ranked_top_N,20,20,20,PERMANOVA/adonis2,0.5382122381571453,11.654969720490291,2,0.5382122381571453,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_025_by_abundance,ranked_top_N,25,25,25,PERMANOVA/adonis2,0.49557902391272984,9.824710854748226,2,0.49557902391272984,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_030_by_abundance,ranked_top_N,30,30,30,PERMANOVA/adonis2,0.5079630212282844,10.32367572242894,2,0.5079630212282844,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_038_by_abundance,ranked_top_N,38,38,38,PERMANOVA/adonis2,0.5035933489013968,10.14477440596109,2,0.5035933489013968,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_050_by_abundance,ranked_top_N,50,50,50,PERMANOVA/adonis2,0.4583511664292061,8.462146284107142,2,0.4583511664292061,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_075_by_abundance,ranked_top_N,75,75,71,PERMANOVA/adonis2,0.4605762168821546,8.538300150950793,2,0.4605762168821546,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,top_100_by_abundance,ranked_top_N,100,100,85,PERMANOVA/adonis2,0.43781865233041484,7.7878544733884905,2,0.43781865233041484,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,all_observed_species,reference_full,118,118,96,PERMANOVA/adonis2,0.42568730014263,7.412117131457284,2,0.42568730014263,0.001,TRUE,NA,23,NA,**
beta_permanova_gower_sqrt_z,Treatment effect on community composition: gower_sqrt_z,condition-subset reef-level beta diversity,main_38_10x10_corrected,reference_main,38,38,38,PERMANOVA/adonis2,0.49736698783213934,9.89523122818756,2,0.49736698783213934,0.001,TRUE,NA,23,NA,**
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,damselfish_only,functional_subset,5,5,5,PERMANOVA/adonis2,0.091441794498563,0.9561270180339311,2,0.091441794498563,0.467,FALSE,NA,22,NA,NS
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,obligate_plus_damselfish,functional_subset,27,27,26,PERMANOVA/adonis2,0.24784697014475807,3.295166811898083,2,0.24784697014475807,0.003,TRUE,NA,23,NA,**
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_005_by_abundance,ranked_top_N,5,5,5,PERMANOVA/adonis2,0.05443373830470611,0.575673440453686,2,0.05443373830470611,0.48,FALSE,NA,23,NA,NS
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_010_by_abundance,ranked_top_N,10,10,10,PERMANOVA/adonis2,0.17079224032550705,2.059703835773941,2,0.17079224032550705,0.092,FALSE,NA,23,NA,.
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_015_by_abundance,ranked_top_N,15,15,15,PERMANOVA/adonis2,0.14242685212942105,1.6608128704015284,2,0.14242685212942105,0.125,FALSE,NA,23,NA,NS
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_020_by_abundance,ranked_top_N,20,20,20,PERMANOVA/adonis2,0.13128125483840375,1.5112055031572185,2,0.13128125483840375,0.15,FALSE,NA,23,NA,NS
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_025_by_abundance,ranked_top_N,25,25,25,PERMANOVA/adonis2,0.16571365685505404,1.9862923349599115,2,0.16571365685505404,0.032,TRUE,NA,23,NA,*
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_030_by_abundance,ranked_top_N,30,30,30,PERMANOVA/adonis2,0.19795118597539507,2.468069056571443,2,0.19795118597539507,0.009,TRUE,NA,23,NA,**
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_038_by_abundance,ranked_top_N,38,38,38,PERMANOVA/adonis2,0.20133703827289265,2.520926196921685,2,0.20133703827289265,0.001,TRUE,NA,23,NA,**
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_050_by_abundance,ranked_top_N,50,50,50,PERMANOVA/adonis2,0.1975173374745254,2.4613284086776797,2,0.1975173374745254,0.003,TRUE,NA,23,NA,**
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_075_by_abundance,ranked_top_N,75,75,71,PERMANOVA/adonis2,0.20930434219830774,2.6470910790154054,2,0.20930434219830774,0.002,TRUE,NA,23,NA,**
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,top_100_by_abundance,ranked_top_N,100,100,85,PERMANOVA/adonis2,0.2034481561576725,2.554110667502814,2,0.2034481561576725,0.001,TRUE,NA,23,NA,**
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,all_observed_species,reference_full,118,118,96,PERMANOVA/adonis2,0.1993174873963079,2.489344830926295,2,0.1993174873963079,0.001,TRUE,NA,23,NA,**
beta_permanova_jaccard,Treatment effect on community composition: jaccard,condition-subset reef-level beta diversity,main_38_10x10_corrected,reference_main,38,38,38,PERMANOVA/adonis2,0.196844296762867,2.4508858739280894,2,0.196844296762867,0.001,TRUE,NA,23,NA,**
cafi_pc1_condition_HELLINGER,CAFI community PC1 predicts coral condition PC1 (HELLINGER),condition-subset coral-level CAFI-condition link,damselfish_only,functional_subset,5,5,5,LMM slope; PC1 aligned to condition PC1,0.26405416663720654,1.3353678220689702,36.52128384675048,NA,0.19001974880633327,FALSE,positive,44,PC1 variance=0.265; PCA species used=5,NS
cafi_pc1_condition_HELLINGER,CAFI community PC1 predicts coral condition PC1 (HELLINGER),condition-subset coral-level CAFI-condition link,obligate_plus_damselfish,functional_subset,27,27,26,LMM slope; PC1 aligned to condition PC1,0.32292907024900436,2.533648521103136,41.443513212815915,NA,0.01516205076804907,TRUE,positive,44,PC1 variance=0.128; PCA species used=26,*
cafi_pc1_condition_HELLINGER,CAFI community PC1 predicts coral condition PC1 (HELLINGER),condition-subset coral-level CAFI-condition link,top_005_by_abundance,ranked_top_N,5,5,5,LMM slope; PC1 aligned to condition PC1,0.34415011320528544,2.2333951429726295,36.912722624708586,NA,0.03166862172076902,TRUE,positive,44,PC1 variance=0.487; PCA species used=5,*
cafi_pc1_condition_HELLINGER,CAFI community PC1 predicts coral condition PC1 (HELLINGER),condition-subset coral-level CAFI-condition link,top_010_by_abundance,ranked_top_N,10,10,10,LMM slope; PC1 aligned to condition PC1,0.29860141737211376,2.0584419001148855,41.28603682019907,NA,0.04589571026742705,TRUE,positive,44,PC1 variance=0.274; PCA species used=10,*
