rank,from,to,r,abs_weight
52,Chlorodiella_barbata,Harpiliopsis_beaupresii,0.34314846476386557,0.34314846476386557
53,Macteola_interrupta,Stomatolina_rubra,0.3405163427870825,0.3405163427870825
54,zoox_cells_cm2,afdw_mg_cm2,0.3401953937750224,0.3401953937750224
55,Alpheus_lottini,Trapezia_serenei,0.3396854605667272,0.3396854605667272
56,Fennera_chacei,Harpiliopsis_spinigera,0.3378602405048578,0.3378602405048578
57,Carinomitra_typha,Harpiliopsis_beaupresii,0.3339559781113348,0.3339559781113348
58,Chlorodiella_barbata,Trapezia_tigrina,0.33321017872461683,0.33321017872461683
59,Harpiliopsis_beaupresii,Trapezia_serenei,0.3326964199625632,0.3326964199625632
60,Cellana_taitensis,Xanthias_lamarckii,0.3245634693153065,0.3245634693153065
61,Strigatella_assimilis,Trapezia_tigrina,0.32360510688211563,0.32360510688211563
62,carb_mg_cm2,Periclimenes_watamuae,0.32236237300495857,0.32236237300495857
63,growth_vol_b,Caracanthus_maculatus,0.3208772329272039,0.3208772329272039
64,Dascyllus_aruanus,Stomatolina_rubra,0.32000134110540795,0.32000134110540795
65,Strigatella_assimilis,Xanthias_lamarckii,0.31941394423095615,0.31941394423095615
66,afdw_mg_cm2,Athanas_djiboutensis,0.31677214319612473,0.31677214319612473
67,protein_mg_cm2,Dascyllus_flavicaudus,0.3163168540130494,0.3163168540130494
68,Chlorodiella_barbata,Trapezia_serenei,0.3147851209315565,0.3147851209315565
69,Alpheus_lottini,Synalpheus_charon,0.3134386726250439,0.3134386726250439
70,Galathea_mauritiana,Macteola_interrupta,0.3131691294773964,0.3131691294773964
71,Cerithium_zebrum,Dascyllus_aruanus,0.3053635651672171,0.3053635651672171
72,Dascyllus_flavicaudus,Fennera_chacei,0.3041518132324638,0.3041518132324638
73,Mitrella_moleculina,Zafra_hahajimana,0.3029008081791311,0.3029008081791311
74,carb_mg_cm2,Fennera_chacei,0.30067922722316986,0.30067922722316986
75,Cerithium_zebrum,Diala_semistriata,0.3000965057804884,0.3000965057804884
