rank,from,to,r,Effect,abs_weight
63,Fennera_chacei,Harpiliopsis_spinigera,0.3378602405048578,Positive,0.3378602405048578
64,Dascyllus_flavicaudus,Galathea_mauritiana,-0.33742219148699676,Negative,0.33742219148699676
65,Carinomitra_typha,Harpiliopsis_beaupresii,0.3339559781113348,Positive,0.3339559781113348
66,Chlorodiella_barbata,Trapezia_tigrina,0.33321017872461683,Positive,0.33321017872461683
67,protein_mg_cm2,Luniella_pugil,-0.3331436895367164,Negative,0.3331436895367164
68,Harpiliopsis_beaupresii,Trapezia_serenei,0.3326964199625632,Positive,0.3326964199625632
69,Cellana_taitensis,Xanthias_lamarckii,0.3245634693153065,Positive,0.3245634693153065
70,Strigatella_assimilis,Trapezia_tigrina,0.32360510688211563,Positive,0.32360510688211563
71,carb_mg_cm2,Periclimenes_watamuae,0.32236237300495857,Positive,0.32236237300495857
72,growth_vol_b,Caracanthus_maculatus,0.3208772329272039,Positive,0.3208772329272039
73,Dascyllus_aruanus,Stomatolina_rubra,0.32000134110540795,Positive,0.32000134110540795
74,Strigatella_assimilis,Xanthias_lamarckii,0.31941394423095615,Positive,0.31941394423095615
75,Dascyllus_flavicaudus,Diala_albugo,-0.3175770863867152,Negative,0.3175770863867152
76,afdw_mg_cm2,Athanas_djiboutensis,0.31677214319612473,Positive,0.31677214319612473
77,protein_mg_cm2,Dascyllus_flavicaudus,0.3163168540130494,Positive,0.3163168540130494
78,Chlorodiella_barbata,Trapezia_serenei,0.3147851209315565,Positive,0.3147851209315565
79,Alpheus_lottini,Synalpheus_charon,0.3134386726250439,Positive,0.3134386726250439
80,Galathea_mauritiana,Macteola_interrupta,0.3131691294773964,Positive,0.3131691294773964
81,growth_vol_b,Synalpheus_charon,-0.3128178187215813,Negative,0.3128178187215813
82,Alpheus_diadema,Fennera_chacei,-0.30809213553863135,Negative,0.30809213553863135
83,Caracanthus_maculatus,Morula_zebrina,-0.3065065812639698,Negative,0.3065065812639698
84,Cerithium_zebrum,Dascyllus_aruanus,0.3053635651672171,Positive,0.3053635651672171
85,Dascyllus_flavicaudus,Fennera_chacei,0.3041518132324638,Positive,0.3041518132324638
86,Mitrella_moleculina,Zafra_hahajimana,0.3029008081791311,Positive,0.3029008081791311
87,Dascyllus_aruanus,Trapezia_serenei,-0.3025970084575548,Negative,0.3025970084575548
88,carb_mg_cm2,Fennera_chacei,0.30067922722316986,Positive,0.30067922722316986
89,Cerithium_zebrum,Diala_semistriata,0.3000965057804884,Positive,0.3000965057804884
