result_key,result_label,scenario_id,n_species_full_scope,n_species_condition_scope,estimate,p_value,significant,direction,details
species_condition_Harpiliopsis.spinigera,Harpiliopsis spinigera abundance predicts coral condition,all_observed_species,118,96,0.4545990052723649,0.14732350735077587,FALSE,positive,BH p=0.744
species_condition_Harpiliopsis.spinigera,Harpiliopsis spinigera abundance predicts coral condition,damselfish_only,5,5,NA,NA,NA,not included,species not in this inclusion set
species_condition_Harpiliopsis.spinigera,Harpiliopsis spinigera abundance predicts coral condition,main_38_10x10_corrected,38,38,0.4545990052723649,0.14732350735077587,FALSE,positive,BH p=0.560
species_condition_Harpiliopsis.spinigera,Harpiliopsis spinigera abundance predicts coral condition,obligate_plus_damselfish,27,26,0.4545990052723649,0.14732350735077587,FALSE,positive,BH p=0.479
species_condition_Luniella.pugil,Luniella pugil abundance predicts coral condition,all_observed_species,118,96,-0.9168362992040319,0.013487619502702334,TRUE,negative,BH p=0.216
species_condition_Luniella.pugil,Luniella pugil abundance predicts coral condition,damselfish_only,5,5,NA,NA,NA,not included,species not in this inclusion set
species_condition_Luniella.pugil,Luniella pugil abundance predicts coral condition,main_38_10x10_corrected,38,38,-0.9168362992040319,0.013487619502702334,TRUE,negative,BH p=0.256
species_condition_Luniella.pugil,Luniella pugil abundance predicts coral condition,obligate_plus_damselfish,27,26,NA,NA,NA,not included,species not in this inclusion set
species_condition_Mitrella.moleculina,Mitrella moleculina abundance predicts coral condition,all_observed_species,118,96,-0.34132576711190454,0.4291240681370463,FALSE,negative,BH p=0.967
species_condition_Mitrella.moleculina,Mitrella moleculina abundance predicts coral condition,damselfish_only,5,5,NA,NA,NA,not included,species not in this inclusion set
species_condition_Mitrella.moleculina,Mitrella moleculina abundance predicts coral condition,main_38_10x10_corrected,38,38,-0.34132576711190454,0.4291240681370463,FALSE,negative,BH p=0.858
species_condition_Mitrella.moleculina,Mitrella moleculina abundance predicts coral condition,obligate_plus_damselfish,27,26,NA,NA,NA,not included,species not in this inclusion set
species_condition_Morula.zebrina,Morula zebrina abundance predicts coral condition,all_observed_species,118,96,0.13307793325593925,0.7461137511684801,FALSE,positive,BH p=0.967
species_condition_Morula.zebrina,Morula zebrina abundance predicts coral condition,damselfish_only,5,5,NA,NA,NA,not included,species not in this inclusion set
species_condition_Morula.zebrina,Morula zebrina abundance predicts coral condition,main_38_10x10_corrected,38,38,0.13307793325593925,0.7461137511684801,FALSE,positive,BH p=0.898
species_condition_Morula.zebrina,Morula zebrina abundance predicts coral condition,obligate_plus_damselfish,27,26,NA,NA,NA,not included,species not in this inclusion set
species_condition_Trapezia.serenei,Trapezia serenei abundance predicts coral condition,all_observed_species,118,96,-0.023161394281729055,0.9622448410655704,FALSE,negative,BH p=0.992
species_condition_Trapezia.serenei,Trapezia serenei abundance predicts coral condition,damselfish_only,5,5,NA,NA,NA,not included,species not in this inclusion set
species_condition_Trapezia.serenei,Trapezia serenei abundance predicts coral condition,main_38_10x10_corrected,38,38,-0.023161394281729055,0.9622448410655704,FALSE,negative,BH p=0.962
species_condition_Trapezia.serenei,Trapezia serenei abundance predicts coral condition,obligate_plus_damselfish,27,26,-0.023161394281729055,0.9622448410655704,FALSE,negative,BH p=0.981
species_condition_Xanthias.lamarckii,Xanthias lamarckii abundance predicts coral condition,all_observed_species,118,96,-0.36809062702522255,0.48262724843948035,FALSE,negative,BH p=0.967
species_condition_Xanthias.lamarckii,Xanthias lamarckii abundance predicts coral condition,damselfish_only,5,5,NA,NA,NA,not included,species not in this inclusion set
species_condition_Xanthias.lamarckii,Xanthias lamarckii abundance predicts coral condition,main_38_10x10_corrected,38,38,-0.36809062702522255,0.48262724843948035,FALSE,negative,BH p=0.873
species_condition_Xanthias.lamarckii,Xanthias lamarckii abundance predicts coral condition,obligate_plus_damselfish,27,26,NA,NA,NA,not included,species not in this inclusion set
species_condition_sig_negative_count,Number of included species negatively associated with coral condition,all_observed_species,118,96,2,NA,TRUE,count,BH-negative=0
species_condition_sig_negative_count,Number of included species negatively associated with coral condition,damselfish_only,5,5,0,NA,FALSE,count,BH-negative=0
species_condition_sig_negative_count,Number of included species negatively associated with coral condition,main_38_10x10_corrected,38,38,2,NA,TRUE,count,BH-negative=0
species_condition_sig_negative_count,Number of included species negatively associated with coral condition,obligate_plus_damselfish,27,26,1,NA,TRUE,count,BH-negative=0
species_condition_sig_positive_count,Number of included species positively associated with coral condition,all_observed_species,118,96,6,NA,TRUE,count,BH-positive=2
species_condition_sig_positive_count,Number of included species positively associated with coral condition,damselfish_only,5,5,0,NA,FALSE,count,BH-positive=0
species_condition_sig_positive_count,Number of included species positively associated with coral condition,main_38_10x10_corrected,38,38,2,NA,TRUE,count,BH-positive=1
species_condition_sig_positive_count,Number of included species positively associated with coral condition,obligate_plus_damselfish,27,26,2,NA,TRUE,count,BH-positive=1
species_scaling_point_above_pct_t6,Percent of included species with observed 6-coral density above proportional expectation,all_observed_species,118,96,54.54545454545454,NA,NA,mostly above,42 above; 35 below
species_scaling_point_above_pct_t6,Percent of included species with observed 6-coral density above proportional expectation,damselfish_only,5,5,0,NA,NA,mostly below,0 above; 4 below
species_scaling_point_above_pct_t6,Percent of included species with observed 6-coral density above proportional expectation,main_38_10x10_corrected,38,38,68.42105263157895,NA,NA,mostly above,26 above; 12 below
species_scaling_point_above_pct_t6,Percent of included species with observed 6-coral density above proportional expectation,obligate_plus_damselfish,27,26,45.45454545454545,NA,NA,mostly below,10 above; 12 below
species_scaling_sig_above_count,Number of species significantly above proportional scaling,all_observed_species,118,96,6,NA,TRUE,count,Breviturma pica; Chlorodiella laevissima; Cyclodius nitidus; Mitrella moleculina; Morula uva; Xanthias lamarckii
species_scaling_sig_above_count,Number of species significantly above proportional scaling,damselfish_only,5,5,0,NA,FALSE,count,
species_scaling_sig_above_count,Number of species significantly above proportional scaling,main_38_10x10_corrected,38,38,2,NA,TRUE,count,Mitrella moleculina; Xanthias lamarckii
species_scaling_sig_above_count,Number of species significantly above proportional scaling,obligate_plus_damselfish,27,26,0,NA,FALSE,count,
species_scaling_sig_below_count,Number of species significantly below proportional scaling,all_observed_species,118,96,1,NA,TRUE,count,Dascyllus aruanus
species_scaling_sig_below_count,Number of species significantly below proportional scaling,damselfish_only,5,5,1,NA,TRUE,count,Dascyllus aruanus
species_scaling_sig_below_count,Number of species significantly below proportional scaling,main_38_10x10_corrected,38,38,1,NA,TRUE,count,Dascyllus aruanus
species_scaling_sig_below_count,Number of species significantly below proportional scaling,obligate_plus_damselfish,27,26,1,NA,TRUE,count,Dascyllus aruanus
total_abundance_scaling_t6,Total CAFI abundance in 6-coral reefs vs proportional expectation,all_observed_species,118,96,-8.832644628099173,NA,FALSE,Proportional,obs=588.33; expected=645.33; bootstrap class=Proportional
total_abundance_scaling_t6,Total CAFI abundance in 6-coral reefs vs proportional expectation,damselfish_only,5,5,-49.26470588235294,NA,FALSE,Proportional,obs=23.00; expected=45.33; bootstrap class=Proportional
total_abundance_scaling_t6,Total CAFI abundance in 6-coral reefs vs proportional expectation,main_38_10x10_corrected,38,38,-10.890557939914174,NA,FALSE,Proportional,obs=553.67; expected=621.33; bootstrap class=Proportional
total_abundance_scaling_t6,Total CAFI abundance in 6-coral reefs vs proportional expectation,obligate_plus_damselfish,27,26,-40.9054805401112,NA,FALSE,Proportional,obs=248.00; expected=419.67; bootstrap class=Proportional
