from,to,r,abs_r,Effect
Morula_zebrina,Zafra_hahajimana,0.36428775197448826,0.36428775197448826,Positive
Athanas_djiboutensis,Vexillum_interruptum,0.36280238437631085,0.36280238437631085,Positive
Galathea_mauritiana,Paragobiodon_modestus,0.361500923675904,0.361500923675904,Positive
carb_mg_cm2,zoox_cells_cm2,0.36070657577277476,0.36070657577277476,Positive
Diala_semistriata,Menaethius_monoceros,0.3600585625684176,0.3600585625684176,Positive
Athanas_djiboutensis,Cellana_taitensis,0.3554785370630758,0.3554785370630758,Positive
carb_mg_cm2,Caracanthus_maculatus,0.3478336277865687,0.3478336277865687,Positive
Coralliogalathea_humilis,Luniella_pugil,0.3470872872368171,0.3470872872368171,Positive
Dascyllus_flavicaudus,Periclimenes_watamuae,0.34606051008193883,0.34606051008193883,Positive
zoox_cells_cm2,Stomatolina_rubra,-0.34324809087349806,0.34324809087349806,Negative
Chlorodiella_barbata,Harpiliopsis_beaupresii,0.34314846476386557,0.34314846476386557,Positive
carb_mg_cm2,Luniella_pugil,-0.34274135348831924,0.34274135348831924,Negative
Macteola_interrupta,Stomatolina_rubra,0.3405163427870825,0.3405163427870825,Positive
zoox_cells_cm2,afdw_mg_cm2,0.3401953937750224,0.3401953937750224,Positive
Alpheus_lottini,Trapezia_serenei,0.3396854605667272,0.3396854605667272,Positive
Fennera_chacei,Harpiliopsis_spinigera,0.3378602405048578,0.3378602405048578,Positive
Dascyllus_flavicaudus,Galathea_mauritiana,-0.33742219148699676,0.33742219148699676,Negative
Carinomitra_typha,Harpiliopsis_beaupresii,0.3339559781113348,0.3339559781113348,Positive
Chlorodiella_barbata,Trapezia_tigrina,0.33321017872461683,0.33321017872461683,Positive
protein_mg_cm2,Luniella_pugil,-0.3331436895367164,0.3331436895367164,Negative
Harpiliopsis_beaupresii,Trapezia_serenei,0.3326964199625632,0.3326964199625632,Positive
Cellana_taitensis,Xanthias_lamarckii,0.3245634693153065,0.3245634693153065,Positive
Strigatella_assimilis,Trapezia_tigrina,0.32360510688211563,0.32360510688211563,Positive
carb_mg_cm2,Periclimenes_watamuae,0.32236237300495857,0.32236237300495857,Positive
growth_vol_b,Caracanthus_maculatus,0.3208772329272039,0.3208772329272039,Positive
Dascyllus_aruanus,Stomatolina_rubra,0.32000134110540795,0.32000134110540795,Positive
Strigatella_assimilis,Xanthias_lamarckii,0.31941394423095615,0.31941394423095615,Positive
Dascyllus_flavicaudus,Diala_albugo,-0.3175770863867152,0.3175770863867152,Negative
afdw_mg_cm2,Athanas_djiboutensis,0.31677214319612473,0.31677214319612473,Positive
protein_mg_cm2,Dascyllus_flavicaudus,0.3163168540130494,0.3163168540130494,Positive
Chlorodiella_barbata,Trapezia_serenei,0.3147851209315565,0.3147851209315565,Positive
Alpheus_lottini,Synalpheus_charon,0.3134386726250439,0.3134386726250439,Positive
Galathea_mauritiana,Macteola_interrupta,0.3131691294773964,0.3131691294773964,Positive
growth_vol_b,Synalpheus_charon,-0.3128178187215813,0.3128178187215813,Negative
Alpheus_diadema,Fennera_chacei,-0.30809213553863135,0.30809213553863135,Negative
Caracanthus_maculatus,Morula_zebrina,-0.3065065812639698,0.3065065812639698,Negative
Cerithium_zebrum,Dascyllus_aruanus,0.3053635651672171,0.3053635651672171,Positive
Dascyllus_flavicaudus,Fennera_chacei,0.3041518132324638,0.3041518132324638,Positive
Mitrella_moleculina,Zafra_hahajimana,0.3029008081791311,0.3029008081791311,Positive
Dascyllus_aruanus,Trapezia_serenei,-0.3025970084575548,0.3025970084575548,Negative
carb_mg_cm2,Fennera_chacei,0.30067922722316986,0.30067922722316986,Positive
Cerithium_zebrum,Diala_semistriata,0.3000965057804884,0.3000965057804884,Positive
