from,to,weight,abs_weight,Effect
Dascyllus_flavicaudus,Harpiliopsis_spinigera,0.4750463626074389,0.4750463626074389,Positive
Fennera_chacei,Harpiliopsis_spinigera,0.337860240513531,0.337860240513531,Positive
protein_mg_cm2,Luniella_pugil,-0.33314368953573986,0.33314368953573986,Negative
carb_mg_cm2,Luniella_pugil,-0.3427413534864124,0.3427413534864124,Negative
Coralliogalathea_humilis,Luniella_pugil,0.3470872872342902,0.3470872872342902,Positive
Galathea_mauritiana,Luniella_pugil,0.43943052993729514,0.43943052993729514,Positive
Coralliogalathea_humilis,Macteola_interrupta,0.3748627346592886,0.3748627346592886,Positive
Galathea_mauritiana,Macteola_interrupta,0.31316912947757,0.31316912947757,Positive
Chlorodiella_barbata,Menaethius_monoceros,0.38361099793670445,0.38361099793670445,Positive
Coralliogalathea_humilis,Menaethius_monoceros,0.410313300995295,0.410313300995295,Positive
Diala_semistriata,Menaethius_monoceros,0.3600585625692513,0.3600585625692513,Positive
Macteola_interrupta,Menaethius_monoceros,0.43176198809381494,0.43176198809381494,Positive
Coralliogalathea_humilis,Mitrella_moleculina,0.4187477954478385,0.4187477954478385,Positive
Diala_semistriata,Mitrella_moleculina,0.587036634066992,0.587036634066992,Positive
Luniella_pugil,Mitrella_moleculina,0.3753608283933047,0.3753608283933047,Positive
Caracanthus_maculatus,Morula_zebrina,-0.30650658126280117,0.30650658126280117,Negative
Carinomitra_typha,Morula_zebrina,0.43482451685937185,0.43482451685937185,Positive
Alpheus_diadema,Paragobiodon_modestus,0.39180258746861507,0.39180258746861507,Positive
Fennera_chacei,Paragobiodon_modestus,-0.41686575472740134,0.41686575472740134,Negative
Galathea_mauritiana,Paragobiodon_modestus,0.3615009236766557,0.3615009236766557,Positive
carb_mg_cm2,Periclimenes_watamuae,0.32236237300435366,0.32236237300435366,Positive
Chlorodiella_barbata,Periclimenes_watamuae,0.44363552755251934,0.44363552755251934,Positive
Dascyllus_flavicaudus,Periclimenes_watamuae,0.34606051008191774,0.34606051008191774,Positive
Harpiliopsis_spinigera,Periclimenes_watamuae,0.3802163048736057,0.3802163048736057,Positive
zoox_cells_cm2,Stomatolina_rubra,-0.3432480908723577,0.3432480908723577,Negative
Apataxia_cerithiiformis,Stomatolina_rubra,0.3749074878103671,0.3749074878103671,Positive
Cerithium_zebrum,Stomatolina_rubra,0.44923046810604805,0.44923046810604805,Positive
Coralliogalathea_humilis,Stomatolina_rubra,0.6486043681254294,0.6486043681254294,Positive
Dascyllus_aruanus,Stomatolina_rubra,0.3200013411044917,0.3200013411044917,Positive
Diala_semistriata,Stomatolina_rubra,0.6185346376678166,0.6185346376678166,Positive
Macteola_interrupta,Stomatolina_rubra,0.34051634278600384,0.34051634278600384,Positive
Menaethius_monoceros,Stomatolina_rubra,0.37247291619892536,0.37247291619892536,Positive
Mitrella_moleculina,Stomatolina_rubra,0.4597331320824726,0.4597331320824726,Positive
Diala_albugo,Strigatella_assimilis,0.40951435871484343,0.40951435871484343,Positive
Paragobiodon_modestus,Strigatella_assimilis,0.3943332589085763,0.3943332589085763,Positive
growth_vol_b,Synalpheus_charon,-0.3128178187211632,0.3128178187211632,Negative
Alpheus_lottini,Synalpheus_charon,0.3134386726250439,0.3134386726250439,Positive
Dascyllus_aruanus,Synalpheus_charon,-0.4347486023832465,0.4347486023832465,Negative
Pascula_muricata,Synalpheus_charon,-0.40819115221702684,0.40819115221702684,Negative
Alpheus_diadema,Trapezia_serenei,0.4249858007186267,0.4249858007186267,Positive
Alpheus_lottini,Trapezia_serenei,0.3396854605657651,0.3396854605657651,Positive
Chlorodiella_barbata,Trapezia_serenei,0.31478512092960376,0.31478512092960376,Positive
Dascyllus_aruanus,Trapezia_serenei,-0.3025970084570528,0.3025970084570528,Negative
Galathea_mauritiana,Trapezia_serenei,0.3683633797614245,0.3683633797614245,Positive
Galeropsis_monodonta,Trapezia_serenei,0.5099163565107598,0.5099163565107598,Positive
Harpiliopsis_beaupresii,Trapezia_serenei,0.33269641996305943,0.33269641996305943,Positive
Chlorodiella_barbata,Trapezia_tigrina,0.3332101787220022,0.3332101787220022,Positive
Strigatella_assimilis,Trapezia_tigrina,0.3236051068794766,0.3236051068794766,Positive
Athanas_djiboutensis,Vexillum_interruptum,0.36280238437707957,0.36280238437707957,Positive
Cellana_taitensis,Xanthias_lamarckii,0.3245634693153065,0.3245634693153065,Positive
Strigatella_assimilis,Xanthias_lamarckii,0.31941394423054253,0.31941394423054253,Positive
zoox_cells_cm2,Zafra_hahajimana,0.3811376829138168,0.3811376829138168,Positive
Mitrella_moleculina,Zafra_hahajimana,0.30290080817942006,0.30290080817942006,Positive
Morula_zebrina,Zafra_hahajimana,0.3642877519753223,0.3642877519753223,Positive
