rank,from,to,r,abs_weight
39,Coralliogalathea_humilis,Macteola_interrupta,0.3748627346592886,0.3748627346592886
40,Menaethius_monoceros,Stomatolina_rubra,0.37247291619892536,0.37247291619892536
41,Galathea_mauritiana,Trapezia_serenei,0.3683633797614245,0.3683633797614245
42,growth_vol_b,protein_mg_cm2,0.3668277767335214,0.3668277767335214
43,Morula_zebrina,Zafra_hahajimana,0.3642877519753223,0.3642877519753223
44,Athanas_djiboutensis,Vexillum_interruptum,0.36280238437707957,0.36280238437707957
45,Galathea_mauritiana,Paragobiodon_modestus,0.3615009236766557,0.3615009236766557
46,carb_mg_cm2,zoox_cells_cm2,0.3607065757713282,0.3607065757713282
47,Diala_semistriata,Menaethius_monoceros,0.3600585625692513,0.3600585625692513
48,Athanas_djiboutensis,Cellana_taitensis,0.3554785370630758,0.3554785370630758
49,carb_mg_cm2,Caracanthus_maculatus,0.34783362778644444,0.34783362778644444
50,Coralliogalathea_humilis,Luniella_pugil,0.3470872872342902,0.3470872872342902
51,Dascyllus_flavicaudus,Periclimenes_watamuae,0.34606051008191774,0.34606051008191774
52,Chlorodiella_barbata,Harpiliopsis_beaupresii,0.3431484647622594,0.3431484647622594
53,Macteola_interrupta,Stomatolina_rubra,0.34051634278600384,0.34051634278600384
54,zoox_cells_cm2,afdw_mg_cm2,0.340195404621514,0.340195404621514
55,Alpheus_lottini,Trapezia_serenei,0.3396854605657651,0.3396854605657651
56,Fennera_chacei,Harpiliopsis_spinigera,0.337860240513531,0.337860240513531
57,Carinomitra_typha,Harpiliopsis_beaupresii,0.3339559781113275,0.3339559781113275
58,Chlorodiella_barbata,Trapezia_tigrina,0.3332101787220022,0.3332101787220022
59,Harpiliopsis_beaupresii,Trapezia_serenei,0.33269641996305943,0.33269641996305943
60,growth_vol_b,Caracanthus_maculatus,0.32547641926599885,0.32547641926599885
61,Cellana_taitensis,Xanthias_lamarckii,0.3245634693153065,0.3245634693153065
62,Strigatella_assimilis,Trapezia_tigrina,0.3236051068794766,0.3236051068794766
63,carb_mg_cm2,Periclimenes_watamuae,0.32236237300435366,0.32236237300435366
64,Dascyllus_aruanus,Stomatolina_rubra,0.3200013411044917,0.3200013411044917
65,Strigatella_assimilis,Xanthias_lamarckii,0.31941394423054253,0.31941394423054253
66,afdw_mg_cm2,Athanas_djiboutensis,0.31677214572426815,0.31677214572426815
67,protein_mg_cm2,Dascyllus_flavicaudus,0.3163168540134722,0.3163168540134722
68,Chlorodiella_barbata,Trapezia_serenei,0.31478512092960376,0.31478512092960376
69,Alpheus_lottini,Synalpheus_charon,0.3134386726250439,0.3134386726250439
70,Galathea_mauritiana,Macteola_interrupta,0.31316912947757,0.31316912947757
71,Cerithium_zebrum,Dascyllus_aruanus,0.3053635651653253,0.3053635651653253
72,Dascyllus_flavicaudus,Fennera_chacei,0.30415181322803303,0.30415181322803303
73,Mitrella_moleculina,Zafra_hahajimana,0.30290080817942006,0.30290080817942006
74,carb_mg_cm2,Fennera_chacei,0.3006792272260327,0.3006792272260327
75,Cerithium_zebrum,Diala_semistriata,0.30009650577995517,0.30009650577995517
