rank,from,to,r,Effect,abs_weight
41,afdw_mg_cm2,Caracanthus_maculatus,0.37858035110580845,Positive,0.37858035110580845
42,Luniella_pugil,Mitrella_moleculina,0.3753608283933047,Positive,0.3753608283933047
43,Apataxia_cerithiiformis,Stomatolina_rubra,0.3749074878103671,Positive,0.3749074878103671
44,Coralliogalathea_humilis,Macteola_interrupta,0.3748627346592886,Positive,0.3748627346592886
45,Menaethius_monoceros,Stomatolina_rubra,0.37247291619892536,Positive,0.37247291619892536
46,Galathea_mauritiana,Trapezia_serenei,0.3683633797614245,Positive,0.3683633797614245
47,growth_vol_b,protein_mg_cm2,0.3668277767335214,Positive,0.3668277767335214
48,Morula_zebrina,Zafra_hahajimana,0.3642877519753223,Positive,0.3642877519753223
49,Athanas_djiboutensis,Vexillum_interruptum,0.36280238437707957,Positive,0.36280238437707957
50,Galathea_mauritiana,Paragobiodon_modestus,0.3615009236766557,Positive,0.3615009236766557
51,carb_mg_cm2,zoox_cells_cm2,0.3607065757713282,Positive,0.3607065757713282
52,Diala_semistriata,Menaethius_monoceros,0.3600585625692513,Positive,0.3600585625692513
53,Athanas_djiboutensis,Cellana_taitensis,0.3554785370630758,Positive,0.3554785370630758
54,carb_mg_cm2,Caracanthus_maculatus,0.34783362778644444,Positive,0.34783362778644444
55,Coralliogalathea_humilis,Luniella_pugil,0.3470872872342902,Positive,0.3470872872342902
56,Dascyllus_flavicaudus,Periclimenes_watamuae,0.34606051008191774,Positive,0.34606051008191774
57,zoox_cells_cm2,Stomatolina_rubra,-0.3432480908723577,Negative,0.3432480908723577
58,Chlorodiella_barbata,Harpiliopsis_beaupresii,0.3431484647622594,Positive,0.3431484647622594
59,carb_mg_cm2,Luniella_pugil,-0.3427413534864124,Negative,0.3427413534864124
60,Macteola_interrupta,Stomatolina_rubra,0.34051634278600384,Positive,0.34051634278600384
61,zoox_cells_cm2,afdw_mg_cm2,0.340195404621514,Positive,0.340195404621514
62,Alpheus_lottini,Trapezia_serenei,0.3396854605657651,Positive,0.3396854605657651
63,Fennera_chacei,Harpiliopsis_spinigera,0.337860240513531,Positive,0.337860240513531
64,Dascyllus_flavicaudus,Galathea_mauritiana,-0.3374221914876626,Negative,0.3374221914876626
65,Carinomitra_typha,Harpiliopsis_beaupresii,0.3339559781113275,Positive,0.3339559781113275
66,Chlorodiella_barbata,Trapezia_tigrina,0.3332101787220022,Positive,0.3332101787220022
67,protein_mg_cm2,Luniella_pugil,-0.33314368953573986,Negative,0.33314368953573986
68,Harpiliopsis_beaupresii,Trapezia_serenei,0.33269641996305943,Positive,0.33269641996305943
69,growth_vol_b,Caracanthus_maculatus,0.32547641926599885,Positive,0.32547641926599885
70,Cellana_taitensis,Xanthias_lamarckii,0.3245634693153065,Positive,0.3245634693153065
71,Strigatella_assimilis,Trapezia_tigrina,0.3236051068794766,Positive,0.3236051068794766
72,carb_mg_cm2,Periclimenes_watamuae,0.32236237300435366,Positive,0.32236237300435366
73,Dascyllus_aruanus,Stomatolina_rubra,0.3200013411044917,Positive,0.3200013411044917
74,Strigatella_assimilis,Xanthias_lamarckii,0.31941394423054253,Positive,0.31941394423054253
75,Dascyllus_flavicaudus,Diala_albugo,-0.31757708638474047,Negative,0.31757708638474047
76,afdw_mg_cm2,Athanas_djiboutensis,0.31677214572426815,Positive,0.31677214572426815
77,protein_mg_cm2,Dascyllus_flavicaudus,0.3163168540134722,Positive,0.3163168540134722
78,Chlorodiella_barbata,Trapezia_serenei,0.31478512092960376,Positive,0.31478512092960376
79,Alpheus_lottini,Synalpheus_charon,0.3134386726250439,Positive,0.3134386726250439
80,Galathea_mauritiana,Macteola_interrupta,0.31316912947757,Positive,0.31316912947757
81,growth_vol_b,Synalpheus_charon,-0.3127873418788688,Negative,0.3127873418788688
82,Alpheus_diadema,Fennera_chacei,-0.3080921355265195,Negative,0.3080921355265195
83,Caracanthus_maculatus,Morula_zebrina,-0.30650658126280117,Negative,0.30650658126280117
84,Cerithium_zebrum,Dascyllus_aruanus,0.3053635651653253,Positive,0.3053635651653253
85,Dascyllus_flavicaudus,Fennera_chacei,0.30415181322803303,Positive,0.30415181322803303
86,Mitrella_moleculina,Zafra_hahajimana,0.30290080817942006,Positive,0.30290080817942006
87,Dascyllus_aruanus,Trapezia_serenei,-0.3025970084570528,Negative,0.3025970084570528
88,carb_mg_cm2,Fennera_chacei,0.3006792272260327,Positive,0.3006792272260327
89,Cerithium_zebrum,Diala_semistriata,0.30009650577995517,Positive,0.30009650577995517
