habitat,sp1,sp2,weight,sign
1,Galeropsis monodonta,Harpiliopsis beaupresii,-0.04729705000590076,neg
1,Galeropsis monodonta,Paragobiodon modestus,0.04208274156280232,pos
1,Halichoeres trimaculatus,Xanthias lamarckii,0.04246738353339805,pos
1,Hargeria rapax,Paragobiodon modestus,-0.04800531575803395,neg
1,Harpiliopsis beaupresii,Macteola interrupta,-0.041961053334239426,neg
1,Macteola interrupta,Menaethius monoceros,-0.04509099183226625,neg
1,Menaethius monoceros,Strigatella assimilis,-0.04260844946181142,neg
1,Menaethius monoceros,Vexillum interruptum,-0.04196889540809076,neg
1,Paragobiodon modestus,Strigatella assimilis,0.046291056148757184,pos
1,Pascula muricata,Periclimenes watamuae,0.0515571327641145,pos
1,Pascula muricata,Trapezia tigrina,0.04542369427335866,pos
1,Pascula muricata,Xanthias lamarckii,0.0518968667405388,pos
1,Stomatolina rubra,Trapezia tigrina,-0.052814889269642944,neg
1,Stomatolina rubra,Zafra hahajimana,0.07536009747989986,pos
1,Strigatella assimilis,Vexillum interruptum,0.05373351397670992,pos
1,Trapezia tigrina,Zafra hahajimana,-0.04588748024929788,neg
3,Alpheus diadema,Caracanthus maculatus,0.07093303571535788,pos
3,Alpheus diadema,Morula zebrina,0.08114332669631993,pos
3,Alpheus diadema,Pascula muricata,0.06462308348195842,pos
3,Alpheus diadema,Zafra hahajimana,0.12615835480791288,pos
3,Alpheus lottini,Calcinus latens,0.072387396178337865,pos
3,Alpheus lottini,Dascyllus flavicaudus,-0.06873660519245817,neg
3,Alpheus lottini,Pascula muricata,-0.06457108045767584,neg
3,Alpheus lottini,Vexillum interruptum,-0.0906581397435073,neg
3,Apataxia cerithiiformis,Chlorodiella barbata,-0.07096198573598277,neg
3,Apataxia cerithiiformis,Menaethius monoceros,0.07414477496156885,pos
3,Athanas djiboutensis,Chlorodiella barbata,0.07859757752613705,pos
3,Athanas djiboutensis,Dascyllus aruanus,-0.07022630868903128,neg
3,Calcinus latens,Harpiliopsis spinigera,-0.07078642377186278,neg
3,Calcinus latens,Stomatolina rubra,-0.06735915123984847,neg
3,Caracanthus maculatus,Cerithium zebrum,-0.06934995359037915,neg
3,Caracanthus maculatus,Halichoeres trimaculatus,0.06544784989084007,pos
3,Caracanthus maculatus,Luniella pugil,-0.07400134286441686,neg
3,Caracanthus maculatus,Xanthias lamarckii,0.07127865030565637,pos
3,Caracanthus maculatus,Zafra hahajimana,0.07093303571535789,pos
3,Carinomitra typha,Luniella pugil,0.07354010867857921,pos
3,Cellana taitensis,Harpiliopsis beaupresii,0.08809167566622671,pos
3,Cellana taitensis,Harpiliopsis spinigera,-0.07463235400122606,neg
3,Cellana taitensis,Paragobiodon modestus,-0.0663159821754586,neg
3,Cerithium zebrum,Chlorodiella barbata,-0.07725064813350005,neg
3,Cerithium zebrum,Paragobiodon modestus,0.06787894246033267,pos
3,Chlorodiella barbata,Galeropsis monodonta,-0.07731669880060206,neg
3,Chlorodiella barbata,Periclimenes watamuae,0.06500909381241855,pos
3,Dascyllus aruanus,Fennera chacei,0.08379107059063381,pos
3,Dascyllus aruanus,Morula zebrina,-0.09295567908519865,neg
3,Dascyllus flavicaudus,Harpiliopsis spinigera,0.06429903608368942,pos
3,Dascyllus flavicaudus,Xanthias lamarckii,-0.07020557025018132,neg
3,Diala albugo,Galathea mauritiana,-0.09031927459078706,neg
3,Diala albugo,Luniella pugil,-0.0733820794548668,neg
3,Diala albugo,Trapezia tigrina,0.06347821673563188,pos
3,Diala semistriata,Harpiliopsis beaupresii,-0.07424520841229285,neg
3,Diala semistriata,Stomatolina rubra,0.08787197660989254,pos
3,Fennera chacei,Morula zebrina,-0.09737303184530105,neg
3,Fennera chacei,Paragobiodon modestus,-0.06609732812865088,neg
3,Galathea mauritiana,Luniella pugil,0.07775331466509507,pos
3,Galathea mauritiana,Paragobiodon modestus,-0.07743201090664653,neg
3,Galeropsis monodonta,Macteola interrupta,-0.06359777464327748,neg
3,Galeropsis monodonta,Trapezia serenei,0.07562802530776155,pos
3,Halichoeres trimaculatus,Morula zebrina,0.0633362021611164,pos
3,Hargeria rapax,Menaethius monoceros,-0.0738747287890672,neg
3,Hargeria rapax,Trapezia tigrina,0.08083781250208505,pos
3,Harpiliopsis beaupresii,Paragobiodon modestus,-0.08651065624172263,neg
3,Macteola interrupta,Menaethius monoceros,0.08775736008803214,pos
3,Macteola interrupta,Mitrella moleculina,0.10766849645607621,pos
3,Menaethius monoceros,Mitrella moleculina,0.08739404143341575,pos
3,Menaethius monoceros,Periclimenes watamuae,-0.06478208977631358,neg
3,Mitrella moleculina,Stomatolina rubra,0.07735773289540548,pos
3,Morula zebrina,Zafra hahajimana,0.0811433266963201,pos
3,Paragobiodon modestus,Xanthias lamarckii,-0.08839441275345833,neg
3,Pascula muricata,Vexillum interruptum,0.08753393585900865,pos
3,Pascula muricata,Zafra hahajimana,0.06462308348195825,pos
3,Synalpheus charon,Trapezia tigrina,-0.06918757768245473,neg
6,Alpheus diadema,Carinomitra typha,0.06534060860459717,pos
6,Alpheus diadema,Harpiliopsis spinigera,-0.06540135049448072,neg
6,Alpheus lottini,Athanas djiboutensis,-0.07104436385925114,neg
6,Alpheus lottini,Cellana taitensis,-0.06908246091264275,neg
6,Apataxia cerithiiformis,Coralliogalathea humilis,-0.06625983225199589,neg
6,Apataxia cerithiiformis,Dascyllus aruanus,-0.0630421816306016,neg
6,Apataxia cerithiiformis,Galeropsis monodonta,-0.07749877083458485,neg
6,Apataxia cerithiiformis,Pascula muricata,-0.08999184940915628,neg
6,Athanas djiboutensis,Cellana taitensis,0.07083914661071153,pos
6,Athanas djiboutensis,Dascyllus aruanus,0.0792881396406778,pos
6,Athanas djiboutensis,Trapezia tigrina,-0.10259988936772277,neg
6,Calcinus latens,Caracanthus maculatus,0.06772901544539983,pos
6,Calcinus latens,Fennera chacei,-0.07012177376034429,neg
6,Calcinus latens,Galathea mauritiana,-0.07326837040081352,neg
6,Calcinus latens,Luniella pugil,-0.06722188411473431,neg
6,Calcinus latens,Stomatolina rubra,-0.08741996433043486,neg
6,Caracanthus maculatus,Galathea mauritiana,-0.06574365047110872,neg
6,Caracanthus maculatus,Harpiliopsis spinigera,0.08289732184058057,pos
6,Caracanthus maculatus,Vexillum interruptum,0.06247957881456765,pos
6,Carinomitra typha,Cerithium zebrum,-0.06799035346365609,neg
6,Carinomitra typha,Galeropsis monodonta,-0.07111605207221287,neg
6,Carinomitra typha,Halichoeres trimaculatus,0.07934140268459863,pos
6,Cellana taitensis,Xanthias lamarckii,0.08736094054954915,pos
6,Cerithium zebrum,Hargeria rapax,0.09432096582642827,pos
6,Cerithium zebrum,Luniella pugil,-0.06759648003057188,neg
6,Cerithium zebrum,Paragobiodon modestus,0.06929060057203296,pos
6,Chlorodiella barbata,Coralliogalathea humilis,-0.06758583587577872,neg
6,Chlorodiella barbata,Dascyllus aruanus,-0.06614640081683745,neg
6,Chlorodiella barbata,Synalpheus charon,-0.06813126207689613,neg
6,Chlorodiella barbata,Trapezia tigrina,0.0852250481386676,pos
6,Coralliogalathea humilis,Dascyllus aruanus,0.07155784638015275,pos
6,Dascyllus aruanus,Trapezia tigrina,-0.08037892075159736,neg
6,Dascyllus flavicaudus,Diala albugo,-0.06530835775174064,neg
6,Dascyllus flavicaudus,Diala semistriata,-0.06886713957826827,neg
6,Dascyllus flavicaudus,Periclimenes watamuae,0.06961967779539391,pos
6,Dascyllus flavicaudus,Vexillum interruptum,0.06801641351382295,pos
6,Diala albugo,Morula zebrina,-0.07314776355699226,neg
6,Diala albugo,Zafra hahajimana,-0.09333916801078292,neg
6,Diala semistriata,Mitrella moleculina,0.08555731734815485,pos
6,Fennera chacei,Periclimenes watamuae,0.0783415430715913,pos
6,Fennera chacei,Xanthias lamarckii,-0.0699884056666982,neg
6,Galathea mauritiana,Hargeria rapax,-0.073207254874805,neg
6,Galathea mauritiana,Luniella pugil,0.07138030366575529,pos
6,Galathea mauritiana,Vexillum interruptum,-0.06311918752022945,neg
6,Galeropsis monodonta,Strigatella assimilis,-0.06498578031273661,neg
6,Galeropsis monodonta,Trapezia serenei,0.06618355512562162,pos
6,Galeropsis monodonta,Zafra hahajimana,0.07417840518810538,pos
6,Halichoeres trimaculatus,Macteola interrupta,0.06396303336886937,pos
6,Hargeria rapax,Periclimenes watamuae,-0.07004270220626996,neg
6,Harpiliopsis spinigera,Stomatolina rubra,-0.09492329982104808,neg
6,Luniella pugil,Mitrella moleculina,0.06681420457069445,pos
6,Macteola interrupta,Strigatella assimilis,-0.07442863530876695,neg
6,Menaethius monoceros,Periclimenes watamuae,-0.07316431929141443,neg
6,Pascula muricata,Synalpheus charon,-0.10028557161363993,neg
6,Strigatella assimilis,Vexillum interruptum,-0.06498486947146312,neg
6,Synalpheus charon,Zafra hahajimana,-0.0750909653576369,neg
