sp1,sp2,freq
Chlorodiella barbata,Diala albugo,0.015
Coralliogalathea humilis,Diala albugo,0.235
Dascyllus aruanus,Diala albugo,0.27
Dascyllus flavicaudus,Diala albugo,0.86
Alpheus diadema,Diala semistriata,0.15
Alpheus lottini,Diala semistriata,0.085
Apataxia cerithiiformis,Diala semistriata,0.315
Athanas djiboutensis,Diala semistriata,0.025
Calcinus latens,Diala semistriata,0.025
Caracanthus maculatus,Diala semistriata,0.01
Carinomitra typha,Diala semistriata,0.03
Cellana taitensis,Diala semistriata,0.225
Cerithium zebrum,Diala semistriata,0.05
Chlorodiella barbata,Diala semistriata,0.185
Coralliogalathea humilis,Diala semistriata,0.03
Dascyllus aruanus,Diala semistriata,0.035
Dascyllus flavicaudus,Diala semistriata,0.185
Diala albugo,Diala semistriata,0.355
Alpheus diadema,Fennera chacei,0.555
Alpheus lottini,Fennera chacei,0.02
Apataxia cerithiiformis,Fennera chacei,0.025
Athanas djiboutensis,Fennera chacei,0.56
Calcinus latens,Fennera chacei,0.355
Caracanthus maculatus,Fennera chacei,0.22
Carinomitra typha,Fennera chacei,0.165
Cellana taitensis,Fennera chacei,0.025
Cerithium zebrum,Fennera chacei,0
Chlorodiella barbata,Fennera chacei,0.76
Coralliogalathea humilis,Fennera chacei,0.09
Dascyllus aruanus,Fennera chacei,0.135
Dascyllus flavicaudus,Fennera chacei,0.175
Diala albugo,Fennera chacei,0.04
Diala semistriata,Fennera chacei,0.16
Alpheus diadema,Galathea mauritiana,0.09
Alpheus lottini,Galathea mauritiana,0.07
Apataxia cerithiiformis,Galathea mauritiana,0.025
Athanas djiboutensis,Galathea mauritiana,0.05
Calcinus latens,Galathea mauritiana,0.06
Caracanthus maculatus,Galathea mauritiana,0.425
Carinomitra typha,Galathea mauritiana,0.005
Cellana taitensis,Galathea mauritiana,0.03
Cerithium zebrum,Galathea mauritiana,0.03
Chlorodiella barbata,Galathea mauritiana,0.115
Coralliogalathea humilis,Galathea mauritiana,0.1
Dascyllus aruanus,Galathea mauritiana,0.055
Dascyllus flavicaudus,Galathea mauritiana,0.61
Diala albugo,Galathea mauritiana,0.015
Diala semistriata,Galathea mauritiana,0.02
Fennera chacei,Galathea mauritiana,0.045
Alpheus diadema,Galeropsis monodonta,0.16
Alpheus lottini,Galeropsis monodonta,0.015
Apataxia cerithiiformis,Galeropsis monodonta,0.05
Athanas djiboutensis,Galeropsis monodonta,0.025
Calcinus latens,Galeropsis monodonta,0.155
Caracanthus maculatus,Galeropsis monodonta,0.14
Carinomitra typha,Galeropsis monodonta,0.12
Cellana taitensis,Galeropsis monodonta,0.095
Cerithium zebrum,Galeropsis monodonta,0.025
Chlorodiella barbata,Galeropsis monodonta,0.92
Coralliogalathea humilis,Galeropsis monodonta,0.015
Dascyllus aruanus,Galeropsis monodonta,0.17
Dascyllus flavicaudus,Galeropsis monodonta,0.045
Diala albugo,Galeropsis monodonta,0.015
Diala semistriata,Galeropsis monodonta,0.04
Fennera chacei,Galeropsis monodonta,0.11
Galathea mauritiana,Galeropsis monodonta,0.28
Alpheus diadema,Halichoeres trimaculatus,0.38
Alpheus lottini,Halichoeres trimaculatus,0.02
Apataxia cerithiiformis,Halichoeres trimaculatus,0.405
Athanas djiboutensis,Halichoeres trimaculatus,0.07
Calcinus latens,Halichoeres trimaculatus,0.35
Caracanthus maculatus,Halichoeres trimaculatus,0.555
Carinomitra typha,Halichoeres trimaculatus,0.275
Cellana taitensis,Halichoeres trimaculatus,0.335
Cerithium zebrum,Halichoeres trimaculatus,0.08
Chlorodiella barbata,Halichoeres trimaculatus,0.125
Coralliogalathea humilis,Halichoeres trimaculatus,0.19
Dascyllus aruanus,Halichoeres trimaculatus,0.115
Dascyllus flavicaudus,Halichoeres trimaculatus,0.035
Diala albugo,Halichoeres trimaculatus,0.01
Diala semistriata,Halichoeres trimaculatus,0.01
Fennera chacei,Halichoeres trimaculatus,0.175
Galathea mauritiana,Halichoeres trimaculatus,0.095
Galeropsis monodonta,Halichoeres trimaculatus,0.065
Alpheus diadema,Hargeria rapax,0.19
Alpheus lottini,Hargeria rapax,0.02
Apataxia cerithiiformis,Hargeria rapax,0.02
Athanas djiboutensis,Hargeria rapax,0.215
Calcinus latens,Hargeria rapax,0.005
Caracanthus maculatus,Hargeria rapax,0.035
Carinomitra typha,Hargeria rapax,0.015
Cellana taitensis,Hargeria rapax,0.3
Cerithium zebrum,Hargeria rapax,0.575
Chlorodiella barbata,Hargeria rapax,0.015
Coralliogalathea humilis,Hargeria rapax,0.045
Dascyllus aruanus,Hargeria rapax,0.11
Dascyllus flavicaudus,Hargeria rapax,0.045
Diala albugo,Hargeria rapax,0.04
Diala semistriata,Hargeria rapax,0.05
Fennera chacei,Hargeria rapax,0.025
Galathea mauritiana,Hargeria rapax,0.015
Galeropsis monodonta,Hargeria rapax,0.16
Halichoeres trimaculatus,Hargeria rapax,0.055
Alpheus diadema,Harpiliopsis beaupresii,0.09
Alpheus lottini,Harpiliopsis beaupresii,0.065
Apataxia cerithiiformis,Harpiliopsis beaupresii,0.195
Athanas djiboutensis,Harpiliopsis beaupresii,0.075
Calcinus latens,Harpiliopsis beaupresii,0.04
Caracanthus maculatus,Harpiliopsis beaupresii,0.53
Carinomitra typha,Harpiliopsis beaupresii,0.115
Cellana taitensis,Harpiliopsis beaupresii,0.845
Cerithium zebrum,Harpiliopsis beaupresii,0.13
Chlorodiella barbata,Harpiliopsis beaupresii,0.09
Coralliogalathea humilis,Harpiliopsis beaupresii,0.04
Dascyllus aruanus,Harpiliopsis beaupresii,0.1
Dascyllus flavicaudus,Harpiliopsis beaupresii,0.075
Diala albugo,Harpiliopsis beaupresii,0.01
Diala semistriata,Harpiliopsis beaupresii,0.03
Fennera chacei,Harpiliopsis beaupresii,0.04
Galathea mauritiana,Harpiliopsis beaupresii,0.185
Galeropsis monodonta,Harpiliopsis beaupresii,0.02
Halichoeres trimaculatus,Harpiliopsis beaupresii,0.46
Hargeria rapax,Harpiliopsis beaupresii,0.28
Alpheus diadema,Harpiliopsis spinigera,0.64
Alpheus lottini,Harpiliopsis spinigera,0.05
Apataxia cerithiiformis,Harpiliopsis spinigera,0.225
Athanas djiboutensis,Harpiliopsis spinigera,0.24
Calcinus latens,Harpiliopsis spinigera,0.025
Caracanthus maculatus,Harpiliopsis spinigera,0.835
Carinomitra typha,Harpiliopsis spinigera,0.18
Cellana taitensis,Harpiliopsis spinigera,0.015
Cerithium zebrum,Harpiliopsis spinigera,0.03
Chlorodiella barbata,Harpiliopsis spinigera,0.39
Coralliogalathea humilis,Harpiliopsis spinigera,0.045
Dascyllus aruanus,Harpiliopsis spinigera,0.14
Dascyllus flavicaudus,Harpiliopsis spinigera,0.905
Diala albugo,Harpiliopsis spinigera,0.09
Diala semistriata,Harpiliopsis spinigera,0.455
Fennera chacei,Harpiliopsis spinigera,0.795
Galathea mauritiana,Harpiliopsis spinigera,0.855
Galeropsis monodonta,Harpiliopsis spinigera,0.175
Halichoeres trimaculatus,Harpiliopsis spinigera,0
Hargeria rapax,Harpiliopsis spinigera,0.055
Harpiliopsis beaupresii,Harpiliopsis spinigera,0.02
Alpheus diadema,Luniella pugil,0.025
Alpheus lottini,Luniella pugil,0.03
Apataxia cerithiiformis,Luniella pugil,0.025
Athanas djiboutensis,Luniella pugil,0.135
Calcinus latens,Luniella pugil,0.48
Caracanthus maculatus,Luniella pugil,0.075
Carinomitra typha,Luniella pugil,0.025
Cellana taitensis,Luniella pugil,0.07
Cerithium zebrum,Luniella pugil,0.05
Chlorodiella barbata,Luniella pugil,0.015
Coralliogalathea humilis,Luniella pugil,0.005
Dascyllus aruanus,Luniella pugil,0.035
Dascyllus flavicaudus,Luniella pugil,0.02
Diala albugo,Luniella pugil,0.22
Diala semistriata,Luniella pugil,0.03
Fennera chacei,Luniella pugil,0.175
Galathea mauritiana,Luniella pugil,0.16
Galeropsis monodonta,Luniella pugil,0.03
Halichoeres trimaculatus,Luniella pugil,0.475
Hargeria rapax,Luniella pugil,0.055
Harpiliopsis beaupresii,Luniella pugil,0.045
Harpiliopsis spinigera,Luniella pugil,0.04
Alpheus diadema,Macteola interrupta,0.575
Alpheus lottini,Macteola interrupta,0.01
Apataxia cerithiiformis,Macteola interrupta,0.03
Athanas djiboutensis,Macteola interrupta,0.24
Calcinus latens,Macteola interrupta,0.055
Caracanthus maculatus,Macteola interrupta,0.06
Carinomitra typha,Macteola interrupta,0.11
Cellana taitensis,Macteola interrupta,0.035
Cerithium zebrum,Macteola interrupta,0.005
Chlorodiella barbata,Macteola interrupta,0.04
Coralliogalathea humilis,Macteola interrupta,0.75
Dascyllus aruanus,Macteola interrupta,0.04
Dascyllus flavicaudus,Macteola interrupta,0.025
Diala albugo,Macteola interrupta,0.025
Diala semistriata,Macteola interrupta,0.08
Fennera chacei,Macteola interrupta,0.125
Galathea mauritiana,Macteola interrupta,0.04
Galeropsis monodonta,Macteola interrupta,0.025
Halichoeres trimaculatus,Macteola interrupta,0.085
Hargeria rapax,Macteola interrupta,0.015
Harpiliopsis beaupresii,Macteola interrupta,0.04
Harpiliopsis spinigera,Macteola interrupta,0.1
Luniella pugil,Macteola interrupta,0.08
Alpheus diadema,Menaethius monoceros,0.32
Alpheus lottini,Menaethius monoceros,0.02
Apataxia cerithiiformis,Menaethius monoceros,0.025
Athanas djiboutensis,Menaethius monoceros,0.235
Calcinus latens,Menaethius monoceros,0.29
Caracanthus maculatus,Menaethius monoceros,0.075
Carinomitra typha,Menaethius monoceros,0.035
Cellana taitensis,Menaethius monoceros,0.055
Cerithium zebrum,Menaethius monoceros,0
Chlorodiella barbata,Menaethius monoceros,0.705
Coralliogalathea humilis,Menaethius monoceros,0.535
Dascyllus aruanus,Menaethius monoceros,0.03
Dascyllus flavicaudus,Menaethius monoceros,0.175
Diala albugo,Menaethius monoceros,0
Diala semistriata,Menaethius monoceros,0.44
Fennera chacei,Menaethius monoceros,0.945
Galathea mauritiana,Menaethius monoceros,0.025
Galeropsis monodonta,Menaethius monoceros,0.275
Halichoeres trimaculatus,Menaethius monoceros,0.505
Hargeria rapax,Menaethius monoceros,0.045
Harpiliopsis beaupresii,Menaethius monoceros,0.025
Harpiliopsis spinigera,Menaethius monoceros,0.36
Luniella pugil,Menaethius monoceros,0.075
Macteola interrupta,Menaethius monoceros,0.4
Alpheus diadema,Mitrella moleculina,0.275
Alpheus lottini,Mitrella moleculina,0.02
Apataxia cerithiiformis,Mitrella moleculina,0.005
Athanas djiboutensis,Mitrella moleculina,0.05
Calcinus latens,Mitrella moleculina,0.005
Caracanthus maculatus,Mitrella moleculina,0.245
Carinomitra typha,Mitrella moleculina,0.04
Cellana taitensis,Mitrella moleculina,0.035
Cerithium zebrum,Mitrella moleculina,0.025
Chlorodiella barbata,Mitrella moleculina,0.28
Coralliogalathea humilis,Mitrella moleculina,0.365
Dascyllus aruanus,Mitrella moleculina,0.03
Dascyllus flavicaudus,Mitrella moleculina,0.155
Diala albugo,Mitrella moleculina,0.03
Diala semistriata,Mitrella moleculina,0.485
Fennera chacei,Mitrella moleculina,0.13
Galathea mauritiana,Mitrella moleculina,0.255
Galeropsis monodonta,Mitrella moleculina,0.175
Halichoeres trimaculatus,Mitrella moleculina,0.03
Hargeria rapax,Mitrella moleculina,0.03
Harpiliopsis beaupresii,Mitrella moleculina,0.03
Harpiliopsis spinigera,Mitrella moleculina,0.69
Luniella pugil,Mitrella moleculina,0.07
Macteola interrupta,Mitrella moleculina,0.31
Menaethius monoceros,Mitrella moleculina,0.58
Alpheus diadema,Morula zebrina,0.725
Alpheus lottini,Morula zebrina,0.01
Apataxia cerithiiformis,Morula zebrina,0.08
Athanas djiboutensis,Morula zebrina,0.05
Calcinus latens,Morula zebrina,0.015
Caracanthus maculatus,Morula zebrina,0.04
Carinomitra typha,Morula zebrina,0.625
Cellana taitensis,Morula zebrina,0.035
Cerithium zebrum,Morula zebrina,0.09
Chlorodiella barbata,Morula zebrina,0.405
Coralliogalathea humilis,Morula zebrina,0.05
Dascyllus aruanus,Morula zebrina,0.17
Dascyllus flavicaudus,Morula zebrina,0.04
Diala albugo,Morula zebrina,0.09
Diala semistriata,Morula zebrina,0.025
Fennera chacei,Morula zebrina,0.41
Galathea mauritiana,Morula zebrina,0.04
Galeropsis monodonta,Morula zebrina,0.24
Halichoeres trimaculatus,Morula zebrina,0.265
Hargeria rapax,Morula zebrina,0.035
Harpiliopsis beaupresii,Morula zebrina,0.045
Harpiliopsis spinigera,Morula zebrina,0.085
Luniella pugil,Morula zebrina,0.015
Macteola interrupta,Morula zebrina,0.055
Menaethius monoceros,Morula zebrina,0.07
Mitrella moleculina,Morula zebrina,0.685
Alpheus diadema,Paragobiodon modestus,0.06
Alpheus lottini,Paragobiodon modestus,0.005
Apataxia cerithiiformis,Paragobiodon modestus,0.02
Athanas djiboutensis,Paragobiodon modestus,0.19
Calcinus latens,Paragobiodon modestus,0.02
Caracanthus maculatus,Paragobiodon modestus,0.01
Carinomitra typha,Paragobiodon modestus,0.025
Cellana taitensis,Paragobiodon modestus,0.075
Cerithium zebrum,Paragobiodon modestus,0.14
Chlorodiella barbata,Paragobiodon modestus,0.17
Coralliogalathea humilis,Paragobiodon modestus,0.085
Dascyllus aruanus,Paragobiodon modestus,0.04
Dascyllus flavicaudus,Paragobiodon modestus,0.005
Diala albugo,Paragobiodon modestus,0.08
Diala semistriata,Paragobiodon modestus,0
Fennera chacei,Paragobiodon modestus,0.005
Galathea mauritiana,Paragobiodon modestus,0.025
Galeropsis monodonta,Paragobiodon modestus,0.275
Halichoeres trimaculatus,Paragobiodon modestus,0.03
Hargeria rapax,Paragobiodon modestus,0.025
Harpiliopsis beaupresii,Paragobiodon modestus,0.225
Harpiliopsis spinigera,Paragobiodon modestus,0.02
Luniella pugil,Paragobiodon modestus,0.005
Macteola interrupta,Paragobiodon modestus,0.01
Menaethius monoceros,Paragobiodon modestus,0.2
Mitrella moleculina,Paragobiodon modestus,0.05
Morula zebrina,Paragobiodon modestus,0.005
Alpheus diadema,Pascula muricata,0.535
Alpheus lottini,Pascula muricata,0.035
Apataxia cerithiiformis,Pascula muricata,0.33
Athanas djiboutensis,Pascula muricata,0.08
Calcinus latens,Pascula muricata,0.07
Caracanthus maculatus,Pascula muricata,0.08
Carinomitra typha,Pascula muricata,0.225
Cellana taitensis,Pascula muricata,0.075
Cerithium zebrum,Pascula muricata,0.05
Chlorodiella barbata,Pascula muricata,0.55
Coralliogalathea humilis,Pascula muricata,0.725
Dascyllus aruanus,Pascula muricata,0.015
Dascyllus flavicaudus,Pascula muricata,0.03
Diala albugo,Pascula muricata,0.02
Diala semistriata,Pascula muricata,0.045
Fennera chacei,Pascula muricata,0.545
Galathea mauritiana,Pascula muricata,0.035
Galeropsis monodonta,Pascula muricata,0.045
Halichoeres trimaculatus,Pascula muricata,0.785
Hargeria rapax,Pascula muricata,0.01
Harpiliopsis beaupresii,Pascula muricata,0.07
Harpiliopsis spinigera,Pascula muricata,0.065
Luniella pugil,Pascula muricata,0.01
Macteola interrupta,Pascula muricata,0.315
Menaethius monoceros,Pascula muricata,0.615
Mitrella moleculina,Pascula muricata,0.735
Morula zebrina,Pascula muricata,0.76
Paragobiodon modestus,Pascula muricata,0.04
Alpheus diadema,Periclimenes watamuae,0.21
Alpheus lottini,Periclimenes watamuae,0.02
Apataxia cerithiiformis,Periclimenes watamuae,0.38
Athanas djiboutensis,Periclimenes watamuae,0.205
Calcinus latens,Periclimenes watamuae,0.02
Caracanthus maculatus,Periclimenes watamuae,0.545
Carinomitra typha,Periclimenes watamuae,0.07
Cellana taitensis,Periclimenes watamuae,0.01
Cerithium zebrum,Periclimenes watamuae,0.44
Chlorodiella barbata,Periclimenes watamuae,0.025
Coralliogalathea humilis,Periclimenes watamuae,0
Dascyllus aruanus,Periclimenes watamuae,0.205
Dascyllus flavicaudus,Periclimenes watamuae,0.615
Diala albugo,Periclimenes watamuae,0.29
Diala semistriata,Periclimenes watamuae,0.33
Fennera chacei,Periclimenes watamuae,0.685
Galathea mauritiana,Periclimenes watamuae,0.115
Galeropsis monodonta,Periclimenes watamuae,0.18
Halichoeres trimaculatus,Periclimenes watamuae,0
Hargeria rapax,Periclimenes watamuae,0.065
Harpiliopsis beaupresii,Periclimenes watamuae,0.28
Harpiliopsis spinigera,Periclimenes watamuae,0.85
Luniella pugil,Periclimenes watamuae,0.02
Macteola interrupta,Periclimenes watamuae,0.1
Menaethius monoceros,Periclimenes watamuae,0.59
Mitrella moleculina,Periclimenes watamuae,0.215
Morula zebrina,Periclimenes watamuae,0.03
Paragobiodon modestus,Periclimenes watamuae,0
Pascula muricata,Periclimenes watamuae,0.05
Alpheus diadema,Stomatolina rubra,0.425
Alpheus lottini,Stomatolina rubra,0.01
Apataxia cerithiiformis,Stomatolina rubra,0.09
Athanas djiboutensis,Stomatolina rubra,0.075
Calcinus latens,Stomatolina rubra,0.78
Caracanthus maculatus,Stomatolina rubra,0.025
Carinomitra typha,Stomatolina rubra,0.67
Cellana taitensis,Stomatolina rubra,0.305
Cerithium zebrum,Stomatolina rubra,0.05
Chlorodiella barbata,Stomatolina rubra,0.015
Coralliogalathea humilis,Stomatolina rubra,0.24
Dascyllus aruanus,Stomatolina rubra,0.015
Dascyllus flavicaudus,Stomatolina rubra,0.045
Diala albugo,Stomatolina rubra,0.01
Diala semistriata,Stomatolina rubra,0.6
Fennera chacei,Stomatolina rubra,0.005
Galathea mauritiana,Stomatolina rubra,0.045
Galeropsis monodonta,Stomatolina rubra,0.045
Halichoeres trimaculatus,Stomatolina rubra,0.025
Hargeria rapax,Stomatolina rubra,0.015
Harpiliopsis beaupresii,Stomatolina rubra,0.025
Harpiliopsis spinigera,Stomatolina rubra,0.66
Luniella pugil,Stomatolina rubra,0.035
Macteola interrupta,Stomatolina rubra,0.23
Menaethius monoceros,Stomatolina rubra,0.04
Mitrella moleculina,Stomatolina rubra,0.04
Morula zebrina,Stomatolina rubra,0.03
Paragobiodon modestus,Stomatolina rubra,0.08
Pascula muricata,Stomatolina rubra,0.05
Periclimenes watamuae,Stomatolina rubra,0.06
Alpheus diadema,Strigatella assimilis,0.06
Alpheus lottini,Strigatella assimilis,0.035
Apataxia cerithiiformis,Strigatella assimilis,0.065
Athanas djiboutensis,Strigatella assimilis,0.5
Calcinus latens,Strigatella assimilis,0.18
Caracanthus maculatus,Strigatella assimilis,0.055
Carinomitra typha,Strigatella assimilis,0.04
Cellana taitensis,Strigatella assimilis,0.045
Cerithium zebrum,Strigatella assimilis,0.085
Chlorodiella barbata,Strigatella assimilis,0.035
Coralliogalathea humilis,Strigatella assimilis,0.295
Dascyllus aruanus,Strigatella assimilis,0.035
Dascyllus flavicaudus,Strigatella assimilis,0.25
Diala albugo,Strigatella assimilis,0.65
Diala semistriata,Strigatella assimilis,0.02
Fennera chacei,Strigatella assimilis,0.08
Galathea mauritiana,Strigatella assimilis,0.075
Galeropsis monodonta,Strigatella assimilis,0.015
Halichoeres trimaculatus,Strigatella assimilis,0.08
Hargeria rapax,Strigatella assimilis,0.02
Harpiliopsis beaupresii,Strigatella assimilis,0.03
Harpiliopsis spinigera,Strigatella assimilis,0.005
Luniella pugil,Strigatella assimilis,0.095
Macteola interrupta,Strigatella assimilis,0.255
Menaethius monoceros,Strigatella assimilis,0.685
Mitrella moleculina,Strigatella assimilis,0.02
Morula zebrina,Strigatella assimilis,0.04
Paragobiodon modestus,Strigatella assimilis,0.065
Pascula muricata,Strigatella assimilis,0.03
Periclimenes watamuae,Strigatella assimilis,0.02
Stomatolina rubra,Strigatella assimilis,0.055
Alpheus diadema,Synalpheus charon,0.36
Alpheus lottini,Synalpheus charon,0.04
Apataxia cerithiiformis,Synalpheus charon,0.015
Athanas djiboutensis,Synalpheus charon,0.07
Calcinus latens,Synalpheus charon,0.09
Caracanthus maculatus,Synalpheus charon,0.235
Carinomitra typha,Synalpheus charon,0.185
Cellana taitensis,Synalpheus charon,0.155
Cerithium zebrum,Synalpheus charon,0.02
Chlorodiella barbata,Synalpheus charon,0.065
Coralliogalathea humilis,Synalpheus charon,0.02
Dascyllus aruanus,Synalpheus charon,0.055
Dascyllus flavicaudus,Synalpheus charon,0.01
Diala albugo,Synalpheus charon,0.01
Diala semistriata,Synalpheus charon,0.02
Fennera chacei,Synalpheus charon,0.035
Galathea mauritiana,Synalpheus charon,0.01
Galeropsis monodonta,Synalpheus charon,0.01
Halichoeres trimaculatus,Synalpheus charon,0.24
Hargeria rapax,Synalpheus charon,0.045
Harpiliopsis beaupresii,Synalpheus charon,0.395
Harpiliopsis spinigera,Synalpheus charon,0.05
Luniella pugil,Synalpheus charon,0.02
Macteola interrupta,Synalpheus charon,0.075
Menaethius monoceros,Synalpheus charon,0.005
Mitrella moleculina,Synalpheus charon,0
Morula zebrina,Synalpheus charon,0.045
Paragobiodon modestus,Synalpheus charon,0.13
Pascula muricata,Synalpheus charon,0.03
Periclimenes watamuae,Synalpheus charon,0.155
Stomatolina rubra,Synalpheus charon,0.05
Strigatella assimilis,Synalpheus charon,0.03
Alpheus diadema,Trapezia serenei,0.08
Alpheus lottini,Trapezia serenei,0.17
Apataxia cerithiiformis,Trapezia serenei,0.065
Athanas djiboutensis,Trapezia serenei,0.155
Calcinus latens,Trapezia serenei,0.03
Caracanthus maculatus,Trapezia serenei,0.055
Carinomitra typha,Trapezia serenei,0.03
Cellana taitensis,Trapezia serenei,0.07
Cerithium zebrum,Trapezia serenei,0.04
Chlorodiella barbata,Trapezia serenei,0.015
Coralliogalathea humilis,Trapezia serenei,0.07
Dascyllus aruanus,Trapezia serenei,0.56
Dascyllus flavicaudus,Trapezia serenei,0.04
Diala albugo,Trapezia serenei,0.04
Diala semistriata,Trapezia serenei,0.025
Fennera chacei,Trapezia serenei,0.005
Galathea mauritiana,Trapezia serenei,0.02
Galeropsis monodonta,Trapezia serenei,0.255
Halichoeres trimaculatus,Trapezia serenei,0.13
Hargeria rapax,Trapezia serenei,0.01
Harpiliopsis beaupresii,Trapezia serenei,0.015
Harpiliopsis spinigera,Trapezia serenei,0.03
Luniella pugil,Trapezia serenei,0.02
Macteola interrupta,Trapezia serenei,0.01
Menaethius monoceros,Trapezia serenei,0.075
Mitrella moleculina,Trapezia serenei,0.02
Morula zebrina,Trapezia serenei,0.01
Paragobiodon modestus,Trapezia serenei,0.11
Pascula muricata,Trapezia serenei,0.04
Periclimenes watamuae,Trapezia serenei,0.02
Stomatolina rubra,Trapezia serenei,0.02
Strigatella assimilis,Trapezia serenei,0.02
Synalpheus charon,Trapezia serenei,0.27
Alpheus diadema,Trapezia tigrina,0.185
Alpheus lottini,Trapezia tigrina,0.01
Apataxia cerithiiformis,Trapezia tigrina,0.03
Athanas djiboutensis,Trapezia tigrina,0.79
Calcinus latens,Trapezia tigrina,0.075
Caracanthus maculatus,Trapezia tigrina,0.295
Carinomitra typha,Trapezia tigrina,0.03
Cellana taitensis,Trapezia tigrina,0.08
Cerithium zebrum,Trapezia tigrina,0.02
Chlorodiella barbata,Trapezia tigrina,0.06
Coralliogalathea humilis,Trapezia tigrina,0.075
Dascyllus aruanus,Trapezia tigrina,0.025
Dascyllus flavicaudus,Trapezia tigrina,0.035
Diala albugo,Trapezia tigrina,0.14
Diala semistriata,Trapezia tigrina,0.015
Fennera chacei,Trapezia tigrina,0.065
Galathea mauritiana,Trapezia tigrina,0.02
Galeropsis monodonta,Trapezia tigrina,0.035
Halichoeres trimaculatus,Trapezia tigrina,0.25
